country_code,country_name,total_debt_usd,private_png_debt_usd,public_ppg_debt_usd,short_term_debt_usd,ibrd_debt_usd,ida_debt_usd,world_bank_debt_usd,total_debt_service_usd,ppg_debt_service_usd,multilateral_debt_service_usd,region,income_level,debt_pct_gni,short_term_pct_reserves,debt_service_pct_exports,gdp_current_usd,gdp_per_capita_usd,population,total_reserves_usd,short_term_share,public_ppg_share,private_png_share,multilateral_share,debt_pct_gdp,debt_service_pct_debt,reserves_to_debt,debt_per_capita_usd
CIV,Cote d'Ivoire,40560965965.1,239965437.0,31249010244.2,4284366000.0,161496000.0,4716407000.0,4877903000.0,5387511624.7,4350206790.0,660305060.0,Sub-Saharan Africa ,Lower middle income,48.8304044647452,10.5627,24.7283736134001,87113179149.284,2727.8935220697,31934230,,0.10562780984275401,0.7704207604692572,0.005916166720646501,0.12026101656940591,46.56122800384949,13.282503255311015,,1270.1407225131152
CMR,Cameroon,15770789430.1,271225000.0,12516539290.7,950896478.7,541936000.0,2323469000.0,2865405000.0,1675980009.5,1397091700.0,375847964.7,Sub-Saharan Africa ,Lower middle income,31.2876251648885,6.0294,,53296694320.2057,1830.00833684727,29123744,5061511549.89538,0.060294792655409296,0.7936533136896138,0.017197934269691167,0.18169065110533475,29.590558347482762,10.627115509520648,0.320942180626356,541.5096846785908
COD,"Congo, Dem. Rep.",12484889882.1,,7924885121.5,476015882.2,,3452865000.0,3452865000.0,471108569.1,386162036.6,105652832.0,Sub-Saharan Africa ,Low income,18.2538680171709,3.8127,1.32142230470742,75716176105.0704,692.887665085098,109276265,,0.03812735928752401,0.6347581113119924,,0.27656351258255685,16.489065513259508,3.773429910466763,,114.25070102917591
COG,"Congo, Rep.",6728317971.4,8247827.1,5334336291.0,656777369.7,221576000.0,523900000.0,745476000.0,1088175957.1,1045512956.9,111217353.9,Sub-Saharan Africa ,Lower middle income,44.8962409480798,9.7613,13.5644191652699,15719986076.6464,2482.2489948456,6332961,758550233.065437,0.09761390179414196,0.7928186975815672,0.0012258378892107899,0.11079678504624604,42.801042816415624,16.1730756739723,0.11273995020595037,1062.4284550939126
COL,Colombia,201763641280.4,70122417000.0,106624758600.1,19052808000.0,16238346000.0,,16238346000.0,33835565130.1,14871414482.9,2370479986.0,Latin America & Caribbean ,Upper middle income,49.2038699846531,9.4431,42.9975933296769,420504033143.211,7951.08624019412,52886363,61897968642.424,0.09443132508458973,0.5284636910964488,0.3475473408142339,0.08048202291032626,47.98138076637314,16.76990210692976,0.3067845536966773,3815.0409639702393
COM,Comoros,385570286.6,,323974704.0,0.0,,56828000.0,56828000.0,24644205.9,16161053.6,6195459.9,Sub-Saharan Africa ,Lower middle income,24.8117198831103,0.0,17.3446983217314,1610082688.26617,1857.87060684189,866628,323945586.380687,0.0,0.8402481084754833,,0.14738687594709482,23.94723509605611,6.391624758566134,0.8401725901580067,444.90864200095086
CPV,Cabo Verde,2359581722.2,,1845162809.0,388090000.0,34472000.0,581941000.0,616413000.0,152478862.1,128707507.3,65441405.1,Sub-Saharan Africa ,Upper middle income,86.8866144784781,16.4474,12.623937653653,2713721857.39153,5170.20531932535,524877,783105557.825454,0.1644740660383473,0.7819872444509479,,0.26123825006801454,86.95002090111272,6.462114054597503,0.3318832106799467,4495.494605783831
DJI,Djibouti,3457016382.4,10000000.0,2827914989.5,518113119.7,,295538000.0,295538000.0,139575529.8,109618322.4,51772298.1,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,83.8288747209446,14.9872,2.52675252956975,4152145939.98458,3552.72335079222,1168722,348725427.269846,0.14987291420942153,0.8180218652989858,0.002892667807682646,0.08548932585469138,83.25854708307384,4.037456417927099,0.10087468171838596,2957.945843750695
DMA,Dominica,569530343.0,16646000.0,339607059.4,173670714.9,,166614000.0,166614000.0,65938110.8,52260389.9,15762808.6,Latin America & Caribbean ,Upper middle income,82.3567303337689,30.4936,29.4152919032151,688881481.481481,10405.2787777582,66205,155971242.017246,0.3049367202898968,0.5962931801159539,0.029227591127660078,0.29254630951243277,82.67464844245643,11.57762911325692,0.27385940702591505,8602.527648969111
DOM,Dominican Republic,53293949023.3,8215900000.0,39905568368.0,4147766000.0,1929510000.0,,1929510000.0,6610298879.8,4255734801.4,1046086287.4,Latin America & Caribbean ,Upper middle income,45.3336943010045,7.7828,22.0407214085418,124282245638.568,10875.6618443092,11427557,13471257812.8679,0.07782808510186785,0.7487823495788118,0.15416196680054664,0.03620504832840258,42.88138563112792,12.403469814012077,0.2527727454945832,4663.634495395648
DZA,Algeria,6898271361.0,278340000.0,851551211.0,1756000000.0,,,,444971156.5,103536651.9,78492391.8,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2.66774817396092,25.4556,0.797700031642401,269322281664.773,5752.99076651465,46814308,83007108429.3211,0.2545565270058387,0.12344414512515725,0.0403492390243765,,2.5613444674385755,6.45047336084348,12.033030318089441,147.35391071037512
ECU,Ecuador,60364730466.4,9062644000.0,40755126856.7,626221000.0,6284835000.0,,6284835000.0,8492825323.0,4507482701.3,1765284797.5,Latin America & Caribbean ,Upper middle income,49.7486298154549,1.0373,21.8576635137655,123802374000.0,6826.5294137822,18135478,6907743954.50087,0.01037395504231672,0.6751479968818045,0.15013144148874177,0.10411435537674175,48.758944207645,14.069184534381787,0.11443344318990761,3328.5436681845385
EGY,"Egypt, Arab Rep.",155972716013.2,2932893000.0,106926880074.6,30995280000.0,12194251000.0,100810000.0,12295061000.0,32908571511.3,24265826532.7,7835647976.0,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,41.9820138564051,19.8722,49.2291017973666,389059910593.1,3338.47371043679,116538258,44921341018.4659,0.19872244833754682,0.6855486190645725,0.01880388490350959,0.07882828044719992,40.08963960728526,21.098928294942905,0.2880076860023659,1338.3820788980731
